
# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new                              新建
codex_tooltip_intake                    如果勾选此项，你的监狱每天会收到随机数量的新囚犯...直到永远。\n\n如果没勾选此项，你可以到监狱报告的囚犯页面，自行决定何时要接收多少新囚犯。
codex_option_fogofwar                   战场迷雾
codex_tooltip_fogofwar                  除非有警卫巡逻或是有闭路监视器在区域内，否则你将无法看见监狱内的状况。
codex_option_lakes                      产生湖泊
codex_tooltip_lakes                     随机的湖泊会挡住某些土地。警告: 实验性功能。
codex_option_forests                    产生森林
codex_tooltip_forests                   土地上会出现树林。
codex_option_buildings                  产生建筑物
codex_tooltip_buildings                 随机的建筑遗迹会出现在土地上，如果想要的话可以使用。
codex_option_failure                    失败条件
codex_tooltip_failure                   额外的挑战！如果监狱状况太差的话 (暴动、破产、太多死亡或逃狱等等) 你将会被解雇，游戏就会结束。
codex_option_unlimitedfunds             无限资金
codex_tooltip_unlimitedfunds            纯沙盒模式！一开始就可以随意花钱，不需要担心或是等待赚钱。
codex_option_gangs                      帮派
codex_tooltip_gangs                     某些囚犯在入监时就带有帮派色彩，\n当看到敌对帮派的成员时就会立刻攻击，额外的挑战。

codex_option_funds                      起始资金
codex_tooltip_funds                     你一开始就会有这么多资金在你的银行里，\n在监狱报告的评估页面出售你之前的监狱来赚取更多起始资金。

codex_transfer							移送
codex_transferring						移送中
codex_in_prison							目前已收容
codex_useravatar                        这是我
codex_tooltip_useravatar                标记这个囚犯就是你，如果你哪天入狱了，这个囚犯就是你的写照。
codex_tooltip_flagbio                   检举这个生平介绍令人产生反感或是冒犯。

codex_workshop_current					目前监狱
codex_workshop_publish					发布这个监狱
codex_workshop_update					更新
codex_workshop_play						进行游戏
codex_workshop_downloading				下载中
codex_workshop_download_failed			下载失败
codex_workshop_publishing				发布中...
codex_workshop_new						新建
codex_workshop_title					标题
codex_workshop_desc						说明
codex_workshop_view_in_workshop			在 Steam 工作坊中检视
codex_workshop_heading_pubed			你发布过的监狱
codex_workshop_heading_subed			订阅的监狱
codex_workshop_published_by				由 *P 发布
codex_workshop_published_by_you			由你发布
codex_workshop_published_good			监狱已发布
codex_workshop_published_good_msg		你的监狱已经成功发布。
codex_workshop_published_bad			发布失败
codex_workshop_published_bad_msg		你的监狱发布失败。
codex_workshop_published_bad_msg_new	你的新监狱发布失败，请再试一次。
codex_workshop_busy						Steam 正在进行某些神秘的魔法仪式，请等待完成后再试一次。
codex_workshop_file_exists				你已经用这个名字发布过监狱，请换一个名字。
codex_workshop_generic_fail				发布监狱失败，请再试一次。
codex_workshop_download_bad				下载监狱失败
codex_workshop_pa_workshop				开启监狱建筑师 (Prison Architect) 工作坊
codex_workshop_agreement				发布同时代表你同意 [url=http://steamcommunity.com/sharedfiles/workshoplegalagreement]Steam 工作坊的服务条款[/url]。

codex_options_timelapse					定时拍摄录影 (Time Lapse)
codex_timelapse_record					开始定时拍摄录影
codex_timelapse_stop					停止拍摄录影
codex_timelapse_camera					摄影机模式
codex_timelapse_resolution				解析度
codex_timelapse_customresw				自订解析度 宽
codex_timelapse_customresh				自订解析度 高
codex_timelapse_resolution				解析度
codex_timelapse_fps						重播速率
codex_timelapse_interval				拍摄间隔
codex_timelapse_quality					品质
codex_timelapse_unsupported				你的硬体不支援这项功能
codex_timelapse_savesettings			储存设定

codex_timelapse_cam_zoom                缩放摄影机
codex_timelapse_cam_fitmap              符合全地图
codex_timelapse_cam_fitheight           符合地图高度
codex_timelapse_cam_fitwidth            符合地图宽度
codex_timelapse_fps_value               *X FPS
codex_timelapse_quality_high            高
codex_timelapse_quality_med             中
codex_timelapse_quality_low             低
codex_timelapse_interval_value          游戏内的 *X 分钟

codex_performance_running				效能测试
codex_performance_time					剩余时间: *T秒
codex_performance_current				目前画格时间: *T毫秒
codex_performance_min					最小画格时间: *T毫秒
codex_performance_avg					平均画格时间: *T毫秒
codex_performance_max					最大画格时间: *T毫秒
codex_performance_numframes				画格数: *T

codex_last_modified						最后修改: *T
codex_sortbydesc						依照日期排序
codex_sortname							名称
codex_sortdate							日期
codex_apply								套用
codex_select                            选择

codex_mods								模组
codex_mod_activetitle					已启用模组
codex_mod_inactivetitle					可用模组
codex_mod_deactivate					停用所有模组
codex_mod_wiki							寻找更多模组 (Wiki)
codex_mod_openmodsfolder				开启模组资料夹
codex_mod_moresteammods					寻找更多模组 (Steam工作坊)
codex_mod_findsteamtranslations         寻找更多翻译模组 (Steam工作坊)
codex_authortitle                       作者
codex_versiontitle                      版本
codex_datetitle                         日期
codex_urltitle                          网址
codex_typetitle							类型
codex_mod_graphicsandsound				画质与音效
codex_mod_translation					语言翻译
codex_mod_scenario						场景故事
codex_mod_content						扩充内容
codex_mod_load_scenario					开始玩场景故事
codex_publishmod						发布模组

codex_mod_update						更新模组
codex_mod_published_good				模组已发布
codex_mod_published_good_msg			你的模组已经成功发布。
codex_mod_published_bad					发布模组失败
codex_mod_published_bad_msg				你的模组发布失败。
codex_mod_modsupdated					模组更新
codex_mod_modsupdated_msg				使用中的某些模组有新的更新，点选确认套用新的内容，游戏将会自动存档。
codex_mod_translationcaption            这是语言包吗？

codex_language                          语言
codex_language_englishdefault           英文 English (预设)
codex_language_default                  预设语言
codex_language_download                 下载
codex_language_failed_download          下载语言包失败
codex_language_failed_download_msg      你所选择的语言包下载失败。
codex_language_searching_workshop       正在搜寻Steam工作坊
codex_language_community                这些语言包皆由社群创作与维护 - 感谢！

codex_save_confirm                      你确定要用目前监狱覆盖 *X 吗？

# =============================================================================
# Graphics Change Confirmation
# =============================================================================

graphicschange_message					要保留目前的画质设定吗？修改的设定将会在
graphicschange_time						秒后回复原本设定。
graphicschange_accept					接受
graphicschange_revert					回复

# =============================================================================
# Script
# =============================================================================

scriptdebugger_title                    脚本除错工具 (F3)

# =============================================================================
# Mod Confirmation
# =============================================================================

modnotification_title                   发现模组更动
modnotification_info                    此监狱当时存档时有使用这些模组，\n我们强烈建议继续游戏前先下载并启用这些模组。
modnotification_playnow                 进行游戏
modnotification_active                  启用
modnotification_inactive                停用
modnotification_new                     新
modnotification_unknown                 为之
modnotification_popup_title             模组更动
modnotification_popup_active            此模组目前启用，按一下停用。
modnotification_popup_inactive          此模组目前停用，按一下启用。
modnotification_popup_new_url           这是一个新模组，按一下在浏览器中开启连结。
modnotification_popup_new_steam         这是一个新的Steam模组，按一下立刻订阅并下载此模组。
modnotification_popup_unknown           我们无法辨识这个模组的来源，请自行寻找并安装此模组。

# =============================================================================
# Biography
# =============================================================================

biography_search                        停止并搜寻
biography_selected                      已选择
biography_prisoner_name                 *S, *F
biography_prisoner_number               囚犯 #*X
biography_prisoner_age                  年龄: *X
biography_prisoner_traits               特征:
biography_prisoner_convicted            因 *C 定罪(抗辩 *P)
biography_prisoner_sentenced            判处 *X 年有期徒刑
biography_parole_now                    现在已可假释
biography_parole_later                  *X 年后可假释
biography_prisoner_served               已服刑 *X 年
biography_prisoner_priors               前科: 


# =============================================================================
# Rap Sheet
# =============================================================================

rapsheet_age							年龄:
rapsheet_category						类别:
rapsheet_traits							特征:
rapsheet_conviction_text				*C - *Y 年
rapsheet_found_text						(抗辩: *P)
rapsheet_convictions					判定罪行
rapsheet_misconductstitle				近期违规
rapsheet_biography                      生平简介
rapsheet_guilty							有罪
rapsheet_notguilty						无罪
rapsheet_served							已服刑
rapsheet_served_time					已服刑 *Y 年
rapsheet_time							*Y 年
rapsheet_bio							因 *A 判处有期徒刑 *Y 年。
rapsheet_bio_med						因多项罪名，包含 *A 和 *B ，判处有期徒刑 *Y 年。
rapsheet_bio_long						因多项罪名，包含 *A 、 *B 和 *C ，判处有期徒刑 *Y 年。
rapsheet_category_minsec				轻刑犯
rapsheet_category_normal				普通犯
rapsheet_category_maxsec				重刑犯
rapsheet_category_protected             保护收容
rapsheet_category_supermax              超重刑犯
rapsheet_category_deathrow              死刑犯
rapsheet_tab_biography                  生平简介
rapsheet_tab_experience                 经历
rapsheet_tab_grading                    评鉴
rapsheet_tab_character                  个性
rapsheet_punish                         惩处
rapsheet_recruit                        招募为秘密线人

rapsheet_timeinside                     已在你的监狱内 *X 天
rapsheet_timeinside_hours               已在你的监狱内 *X 小时
rapsheet_mood                           心情
rapsheet_activity                       活动
rapsheet_condition                      状态
rapsheet_program                        教化课程
rapsheet_passchance                     通过机率
rapsheet_reformhistory                  教化课程纪录

rapsheet_reform_success                 通过
rapsheet_reform_successcount            已通过 *X 次
rapsheet_reform_failed                  不及格
rapsheet_reform_failcount               不及格 *X 次

rapsheet_grading_punishment             惩处
rapsheet_grading_health                 医疗
rapsheet_grading_security               保安
rapsheet_grading_reform                 教化
rapsheet_grading_points                 *X 分: 
rapsheet_grading_penalties              -*X 分: 

rapsheet_scheduleexecution              安排行刑


punish_lockdown_6                       禁足 (6小时)
punish_lockdown_12                      禁足 (12小时)
punish_lockdown_24                      禁足 (24小时)
punish_solitary_6                       关禁闭 (6小时)
punish_solitary_12                      关禁闭 (12小时)
punish_solitary_24                      关禁闭 (24小时)
punish_solitary_perm                    关禁闭 (无限期)
punish_lockdown_perm                    禁足 (无限期)
punish_solitary                         关禁闭
punish_lockdown                         禁足
punish_none                             无
punish_timer                            *X小时 *Y分
punish_timer_minutes                    *X分
punish_active                           执行中
punish_permanent                        (无限期)
punish_end                              结束惩处

# =============================================================================
# Misconducts
# =============================================================================

misconduct_reporttype_none                  无
misconduct_reporttype_complaint             抱怨
misconduct_reporttype_destruction           破坏公物
misconduct_reporttype_escapeattempt         试图逃狱
misconduct_reporttype_injuredprisoner       攻击囚犯
misconduct_reporttype_injuredstaff          攻击员工
misconduct_reporttype_seriousinjury         重伤
misconduct_reporttype_murder                谋杀
misconduct_reporttype_contrabandweapons     查获武器
misconduct_reporttype_contrabandtools       查获工具
misconduct_reporttype_contrabandnarcotics   查获毒品
misconduct_reporttype_contrabandluxuries    查获奢侈品
misconduct_reporttype_intoxicated           中毒
misconduct_title                            =[违规]=

misconduct_report_addiction                 *X 上瘾
misconduct_report_recoving                  正在戒掉 *X
misconduct_report_alcoholic                 酒鬼
misconduct_report_recovingalcoholic         正在戒酒


# =============================================================================
# Research Names + Captions
# =============================================================================

research_required                       你需要 *X 来准备这份报告。
research_requireunlock                  你需要研发“*X”来解锁这份报告
research_approved                       核准
research_cost                           费用: *X
research_costperitem                    + *X / 件
research_timetounlock                   解锁需时: *X 小时
research_movementpenalty                移动处罚: *X%
research_protectionbonus                保护: *X%
research_tap_to_authorise               点此授权

research_none                           无
research_warden                         典狱长
research_maintainance                   监狱维护
research_security                       监狱保安
research_legal                          法律谘询
research_mentalhealth                   心理谘商
research_finance                        财务金融
research_landexpansion                  土地扩张
research_cctv                           监控管制
research_riotguards                     镇暴警卫
research_health                         保健医疗
research_cleaning                       环境维护
research_groundskeeping                 户外清洁
research_clone                          复制建设
research_deployment                     部署
research_patrols                        巡逻
research_dogs                           警犬
research_prisonlabour                   监狱劳动
research_education                      教育
research_contraband                     情报训练
research_policy                         监狱政策
research_armoury                        军械库
research_bodyarmour                     防护装甲
research_tazers                         电击枪
research_tazersforeveryone              量产电击枪
research_bankloans                      银行贷款
research_lowertaxes1                    税务减免
research_lowertaxes2                    海外避税天堂
research_remoteaccess                   远端操控
research_extragrant                     额外补助计划
research_advancedmanagement             微观管理
research_deathrow                       死刑犯
research_permanentpunishment            永久惩处
research_removemincellsize              小牢房
research_reduceexecutionliability       降低行刑责任
research_legalprep                      法律筹备
research_legaldefense                   法律辩护

researchtooltip_warden                  解锁典狱长，以及整个监狱制度系统，在工具列的员工选单聘雇他。\n\n如同所有管理干部一样，他需要一个办公室才能工作。
researchtooltip_security                解锁保安队长，可以在工具列的员工选单聘雇他。\n保安队长让你可以使用部署介面、提供即时的监狱危险等级报告、并预测可能发生的冲突麻烦。\n\n如同所有管理干部一样，他需要一个办公室才能工作。
researchtooltip_maintenance             解锁工头，在工具列的员工选单聘雇他。\n\n如同所有管理干部一样，他需要一个办公室才能工作。
researchtooltip_legal                   解锁律师，可以在工具列的员工选单聘雇他。\n可以解开一系列的制度选项，提供你更大的权力管理监狱。\n\n如同所有管理干部一样，他需要一个办公室才能工作。
researchtooltip_deployment              让你可以指派警卫到监狱的特定区域内站岗。
researchtooltip_patrols                 让你可以在监狱重要的地方 (例如围墙) 自订巡逻路线，并指派警卫进行巡逻。
researchtooltip_dogs                    解锁带犬警卫和警犬，\n他们擅长嗅出监狱内有异味的违禁品，并能探测逃狱地道。\n\n此外警犬奔跑速度极快，可以轻松的追上囚犯。
researchtooltip_cctv                    解锁闭路摄影机和监视器，用这些设备来监视监狱内无人的区域。\n\n同时解锁电话监听系统，让你监听囚犯的通话内容并掌握重要情报资料。
researchtooltip_remoteaccess            解锁高科技远端控制与自动化门禁系统，\n监狱内的门可以由警卫透过门禁控制系统开关，或是由门禁定时器在每天特定时间开放。
researchtooltip_riotguards              (目前暂无用处)\n解锁镇报警卫，这些重武装警卫可以更有效率的解决暴力事件。
researchtooltip_maintainance            解锁工头，提供其他进接制度例如监狱劳动，以及其他员工解锁例如园丁。\n\n如同所有管理干部一样，他需要一个办公室才能工作。
researchtooltip_clone                   解锁工具列的复制建设工具，用这个工具可以快速的复制监狱内类似的建筑单元，例如牢房。\n使用这项工具，用右键拖曳框选想要复制的建筑，然后在目标地点按左键贴上。
researchtooltip_groundskeeping          解锁园丁，他会负责监狱室外的整洁工作。
researchtooltip_cleaning                解锁清洁工，他会负责监狱室内的整洁工作，并协助囚犯进行衣物换洗。
researchtooltip_health                  解锁医生、医务室以及太平间，受伤的囚犯或员工会被送到医务室，由医生进行治疗。
researchtooltip_MentalHealth            解锁心理医生，随时提供实用的囚犯心理状态报告。\n\n如同所有管理干部一样，他需要一个办公室才能工作。
researchtooltip_finance                 解锁会计师，提供监狱的财务金融报告。\n\n同时也让每日花费可以超过收入，假设还有资金存款的话。\n\n如同所有管理干部一样，他需要一个办公室才能工作。
researchtooltip_landexpansion           授权采购邻近的土地，扩张监狱规模。
researchtooltip_prisonlabour            允许囚犯在监狱内进行工作劳动 (煮饭、洗衣等等) ，节省聘雇员工的开销、赚取额外收入、并教囚犯一些新的生活技能。\n\n同时解锁工作坊和洗衣间。
researchtooltip_education               解锁囚犯教化课程计划，外聘教师进行课程。
researchtooltip_contraband              训练警卫让他们更善于追踪并回收各类违禁品，解锁违禁品的供给与需求报告、违禁品报告介面 (显示监狱内所有可能被偷违禁品的位置) 、以及追踪所有违禁品被走私或偷窃的位置。\n\n同时解锁秘密线人。\n\n同时解锁帮派情报介面。
researchtooltip_policy                  解锁政策报告，提供自订各类违规的惩处方式与份量，以及自动搜身违规囚犯和他的牢房。\n\n同时允许控制营养政策，改变监狱内囚犯食物的菜色种类与份量。
researchtooltip_armoury                 解锁军械库，并允许在监狱内部署武装警卫。
researchtooltip_bodyarmour              提供所有警卫、武装警卫、带犬警卫穿戴护具，\n在打斗的时候可以降低受到的伤害，但警卫移动速度也会降低。\n\n警卫必须到军械库才能领取护具，并且需要花费监狱资金购买才能领取。
researchtooltip_tazers                  允许武装警卫携带电击枪，一种强而有力的单发武器，大多数被击中的目标会立刻失去意识。\n电击枪每次击发之后需要一小时充电才能再次击发。\n\n警卫必须到军械库才能领取电击枪，并且需要花费监狱资金购买才能领取。
researchtooltip_tazersforeveryone       扩大电击枪计划，让一般警卫也能携带电击枪。\n\n警卫必须到军械库才能领取电击枪，并且需要花费监狱资金购买才能领取。
researchtooltip_bankloans               允许向银行进行大量贷款，代价是银行会载你每日资金流动中向你收取利息。\n如果你能按时正常还款，你的信用额度就会提升，而银行就会让你贷更高的款项。
researchtooltip_lowertaxes1             充分利用政府税收优惠政策，将企业税降低到 15% 。\n\n$10,000 的每日利润将可节省 $1,500 的税。
researchtooltip_lowertaxes2             你的会计师充分利用各项法规到极限，并将所有官方帐户和相关事业转移到税率更优惠的海外国家，将企业税降低到只有 1% 左右。\n\n$10,000 的每日利润将可节省 $3,000 的税。
researchtooltip_extragrant              将同时可接受的补助计划数量从两项提升到为三项。
researchtooltip_advancedmanagement      提供监狱微观管理工具，让你能细部调整相关需求。\n\n解锁食物后勤，允许明确指定哪间厨房为哪间餐厅供餐，以及哪些囚犯在哪些餐厅用餐。\n此外，洗衣后勤也能让你指派哪间洗衣间负责哪些牢房的衣物清洗。\n\n同时解锁部署排程系统，让你自订每天不同时间的警卫配置。\n\n解锁教化课程计划排程，允许手动安排每日上课时间。
researchtooltip_permanentpunishment     在监狱里有时候被禁足不算什么，\n你的律师可以提出适当的报告，让你把囚犯永久关在牢房里。
researchtooltip_removemincellsize       监狱内的牢房需要有一定的空间才能符合法律规定，\n但想像一下如果没有这些限制，你可以多盖多少牢房！\n律师可以帮你移除基本牢房的最小尺寸限制。
researchtooltip_reduceexecutionliability 透过律师的游说，可以有效的降低囚犯上诉的机会，让你尽快开始行刑。
researchtooltip_legalprep               每个监狱常常都会碰到很多问题，而有些问题会带来严重的法律责任，\n你的律师会开始准备相关的法律文件让你摆脱麻烦，但这些文件需要事前筹备。
researchtooltip_legaldefense            你陷入很糟的状况 - 有大事出包了而你要负责，如果你无法亲自解决，你的律师或许可以帮你。完成这项制度开发，可以立刻移除目前可能让你被开除的警告讯息。

research_legaldefense_adviser1          看来你的律师准备了一些文件帮你处理了这些麻烦，我想这代表我暂时还不能炒你鱿鱼。
research_legaldefense_adviser2          快，赶快把你的监狱整顿好，这些小把戏不是每次都会成功，无法永远保护你。

research_missingadministrator           需求:



# =============================================================================
# Room Requirements
# =============================================================================

roomrequirement_required                需求:
roomrequirement_recommended             推荐: 
roomrequirement_minimumsize             最小尺寸 *W x *H
roomrequirement_minimumsize_short	尺寸 *W x *H
roomrequirement_indoor                  室内
roomrequirement_outdoor                 室外
roomrequirement_solidground             坚固的地面
roomrequirement_secure                  安全 (至少在一扇门后面)
roomrequirement_secure_short		安全
roomrequirement_enclosed                封闭 (空间需要用墙和门围起来)
roomrequirement_enclosed_short		封闭
requirement_entrance                    缺乏出入口
roomrequirement_title                   =[房间需求]=
roomrequirement_passed                  [合格] 
roomrequirement_failed                  [不合] 
roomrequirement_adjacentobject          相邻房间:

# =============================================================================
# Unlocks
# =============================================================================

unlock_title                            已解锁

unlock_special_electricity              电力系统
unlock_special_food                     餐点准备
unlock_special_officersafety            干部安全
unlock_special_misbehavior              不当行为
unlock_special_accounting               会计
unlock_special_gangs                    帮派

unlock_electricity_caption              允许建造变电站和电缆线，能供应所有需要电力的装置。


# =============================================================================
# Advisers
# =============================================================================

click_to_continue                       点一下继续...
incoming_call                           来电...

adviser_name_none                       无
adviser_name_ceo                        执行长
adviser_name_warden                     典狱长
adviser_name_governer                   督察
adviser_name_chief                      保安队长
adviser_name_doctor                     医生
adviser_name_kingpin                    金平
adviser_name_edwardshooter              爱德华
adviser_name_edwardsinner               爱德华
adviser_name_edwardinmate               爱德华
adviser_name_edwardswife                爱德华的老婆 苏珊
adviser_name_priest                     牧师
adviser_name_newsreader                 CDNC新闻网


# =============================================================================
# Valuation, Reports etc
# =============================================================================

report_staff                            员工
report_prisoners                        囚犯
report_jobs                             工作
report_needs                            需求
report_threats                          威胁
report_regime                           日程表
report_policy                           政策
report_grants                           补助计划
report_finance                          经济
report_valuation                        评估
report_contraband                       违禁品
report_programs                         教化课程
report_schedule                         排程
report_intake                           收容

report_grants_bankloan                  银行贷款
report_grants_bankloan_text             你可以向银行进行大量贷款，代价是银行会载你每日资金流动中向你收取利息。\n\n如果你能按时正常还款，你的信用额度就会提升，而银行就会让你贷更高的款项。\n但是如果你还款不正常，你的信用额度会降低，银行就会拒绝更高额的贷款。\n\n注: 单靠缴交每日收取的利息无法偿还所有贷款。
report_grants_max1                      你目前最多只能接受一项补助计划。\n可透过你的会计师提高这个限制。
report_grants_max2                      你目前最多只能接受两项补助计划。\n可透过你的会计师提高这个限制。
report_grants_max3                      你最多只能接受三项补助计划。
report_grants_bankloan_amount           目前银行贷款: *X
report_grants_bankloan_interest         利息: 每日 *X
report_grants_bankloan_max              最高贷款额度: *X
report_grants_creditrating              你的信用额度: *X
report_grants_inprogress_tt             (进行中)
report_grants_completed_tt              (已完成)
report_grants_locked_tt                 (未解锁)
report_grants_advancepayment            *X 阶段奖励
report_grants_completionbonus           *X 完成奖励
report_grants_objectives                [计划目标]
report_grants_prereqs                   [前提需求条件]
report_grants_completed                 已完成
report_grants_locked                    未解锁
report_grants_inprogress                进行中
report_grants_hidden                    (*X 项已隐藏)
report_grants_taptoaccept               点选接受
report_grants_cancelfee                 取消费用: *X

report_staff_title                      员工人数: *X
report_prisoners_title                  囚犯人数: *X
report_staff_group_builders             工人
report_staff_group_guards               警卫
report_staff_group_staff                员工
report_staff_group_administrators       干部
report_staff_group_prisoners            囚犯
report_staff_group_prisoners_high       重刑犯
report_staff_group_prisoners_normal     普通犯
report_staff_group_prisoners_low        轻刑犯
report_staff_group_prisoners_protected  保护收容
report_staff_group_prisoners_supermax   超重刑犯
report_staff_group_prisoners_deathrow   死刑犯

report_staff_fire                       开除

report_intake_title                     囚犯收容
report_intake_catheader_cat             分类
report_intake_catheader_pay             费用
report_intake_catheader_available       剩余名额
report_intake_catheader_amount          收容比例
report_intake_next_header               下次新进 : *X 人
report_intake_cat_minsec                轻刑犯
report_intake_cat_normal                普通犯
report_intake_cat_maxsec                重刑犯
report_intake_cat_deathrow              死刑犯
report_intake_slider_minsec             调整轻邢犯收容比例
report_intake_slider_normal             调整普通犯收容比例
report_intake_slider_maxsec             调整重刑犯收容比例
report_intake_slider_deathrow           调整死刑犯收容比例
report_intake_closed                    关闭
report_intake_locked                    锁定
report_intakemaxperdaydesc              每日新进人数
report_intakemaxperdaydesc_tooltip      下次收容希望新进的囚犯人数
report_intakemaxperdaydecr              <<
report_intakemaxperdayincr              >>
report_intakemaxperdaynone              无
report_intakemaxperdayall               全部
reports_intakedelivernow                立刻收容
report_intakepayment                    费用
report_intakeall                        全部
report_intake_list_tooltip_title        收容分类
report_intake_list_tooltip              这里是所有你可以收容的类型列表。\n\n剩余名额显示每个分类还有多少犯人等待被收容，这个数字会随着比例调整增长。\n\n调整比例可以改变不同分类下次要收容的人数。
report_intake_list_tooltip_dr           \n\n监狱必需要先有特殊设计的死刑犯牢房，才能开始收容死刑犯，死刑犯的收容速度也比一般囚犯来的慢，且死刑犯的剩余名额也不一定会每日成长。死刑犯的人数是少之又少。
report_intake_buttons_tooltip_title     下次新进
report_intake_buttons_tooltip           你可以在这里调整下次新进囚犯的人数。\n\n选择“无”会停止收容新囚犯，而选择“全部”则下次就会收容所有剩余名额囚犯。\n\n每个类别的人数由上方比例调整。
report_intake_overview_tooltip_title    收容总览
report_intake_overview_tooltip          这里可以检视你下次的囚犯收容概况，以及将会获得的费用。\n新进囚犯的数量、类别可以在上面调整设定，而获得费用则是按照每个类别的人数而定。

valuation_categoryprison                监狱价值评估
valuation_construction                  砖头和水泥
valuation_objects                       设备与装置
valuation_stock                         仓储与材料
valuation_staff                         员工
valuation_startupgrant                  起始资金补助
valuation_capacity                      监狱收容量
valuation_cash                          目前资金
valuation_debt                          银行贷款
valuation_categoryperformance           监狱安全与保安措施
valuation_bonustimewithoutincident      [加分] 零事故持续时间
valuation_finedeath                     [扣分] 过去24小时内死亡
valuation_fineescape                    [扣分] 过去24小时内逃狱
valuation_total                         总计
valuation_sell                          出售
valuation_sellprison                    出售监狱
valuation_sell_tooltip                  出售目前的监狱可以赚取利润，并在下一次新建监狱时获得更高的起始资金。\n\n出售后你仍然可以继续玩这座监狱，但是每座监狱只能出售一次。拍卖所得将全数转移到下一座新监狱。
valuation_sold                          这座监狱已经卖出: *X
valuation_donotown                      这监狱现在不是你的，你无法出售它。
valuation_sellsome                      出售股份
valuation_buysome                       买回股份
valuation_shares                        购买与出售股份
valuation_shares_tooltip                你最多可以出售 50% 的股份给外面的投资者，出售后会立刻收到现金，而投资者会持有部分监狱拥有权，\n当你之后要出售监狱时，他们会拿走他们所持有比例的售价金额。\n\n例如你出售了 30% 的监狱股份，最后出售监狱时你只能收到 70% 的出售金额。你随时都可以买回股份 - 但买回的价格会比当初出售的时候还要高。
valuation_ownership                     你拥有 *X% 的监狱股份
valuation_saleprice                     出售价格: *X
valuation_title                         =[评估]=
valuation_totalprisonvalue              监狱总价值: *X
valuation_subcashreserves               扣除现金储备金: *X
valuation_tenpercentprice               10% 股份的价格: *X
valuation_profit                        你的获利 : *X
valuation_tap_to_authorise              点选授权

salecondition_title                     拍卖条件
salecondition_cannotsell                在下列条件达成前无法出售你的监狱。
salecondition_minimumvalue              监狱价值至少达 $50,000
salecondition_cashflow                  每日资金流动为正的
salecondition_accountant                聘雇会计师
salecondition_minprisoners              至少 20 名囚犯
salecondition_recentdeaths              最近没有死亡
salecondition_recentescapes             最近没有逃狱
salecondition_passed                    [合格] 
salecondition_failed                    [不合] 

policy_title                            违规事件
policy_search                           - 搜查 -
policy_prisoner                         搜身
policy_cell                             牢房
policy_punishment                       惩处规则
policy_quantity                         时间
policy_punishmenttime                   *X 小时
policy_mealcost                         $*X / 日
policy_totalmealcost                    (总计: $*X / 日)

job_construct                           建造 *X
job_installobject                       安装 *X
job_installobjectinroom                 在 *Y 内安装 *X
job_moveobject                          移动 *X
job_moveobjecttoroom                    移动 *X 到 *Y
job_loadobjectinto                      填装 *X 到 *Y
job_storeobject                         储存 *X 到 *Y
job_dismantleobject                     拆除 *X
job_dumpobject                          丢弃 *X
job_repairobject                        维修 *X
job_operateequipment                    操作 *X
job_escortprisoner                      移送囚犯到 *X
job_punishprisoner                      处理囚犯
job_searchobject                        搜查 *X 
job_searchentity                        搜身
job_searchingentity						搜身中
job_searchcell                          搜查牢房
job_searchcellblock                     搜查牢房区
job_improvecellindoor                   清除室内区域
job_improvecelloutdoor                  维护室外环境
job_opendoor                            开启门锁中
job_giveuniform                         发放囚犯制服
job_failurecount                        已失败 *X 次
job_feedprisoner                        喂食囚犯
job_healprisoner                        治疗囚犯
job_delivermail                         送信
       
finances_title                          财务金融
finances_income                         收入
finances_expenses                       支出
finances_total                          总计
finances_profit                         净利
finances_timewithoutincident            (*X 日)
finances_dailyincome                    *X / 日

finances_category_federalgrant          联邦补助金
finances_category_minsecprisoners       轻刑犯补助金
finances_category_medsecprisoners       普通犯补助金
finances_category_maxsecprisoners       重刑犯补助金
finances_category_prisoners             囚犯补助金
finances_category_workmen               工人薪资
finances_category_guards                警卫薪资
finances_category_admin                 干部薪资
finances_category_staff                 员工薪资
finances_category_food                  食物
finances_category_electricity           电力
finances_category_workshops             工作坊
finances_category_loaninterest          贷款利息
finances_category_reformprogs           教化课程计划
finances_category_noincident            零事故天数奖励
finances_category_exports               出口 (昨日)
finances_category_corptax               企业税
finances_category_prisonerwages         囚犯零用钱 (昨日)
finances_category_shoprevenue           商店营业额 (昨日)

reports_foodtitle                       营养政策
meal_quantity                           餐点份量
meal_variety                            菜色种类
meal_cost                               每名囚犯费用

reports_paroletitle                     假释政策
parole_title                            假释率
parole_info                             假释门槛: *P%
parole_desc                             如果囚犯的再犯率低于这个门槛，将可以在假释听证会后被释放。
parole_fine                             囚犯再犯罚款
parole_reward                           提早释放囚犯奖励

victory_title                           认证

victory_PrisonValue                     监狱价值
victory_Income                          每日利润
victory_Prisoners                       收容容量
victory_PrisonersReleased               获释囚犯
victory_prisonersdied                   狱中死亡
victory_prisonersescaped                逃狱人数
victory_Bankrupt                        破产
victory_Riot                            暴动\n失控
victory_TooManyDeaths                   管理\n疏失
victory_TooManyEscapes                  保安\n漏洞
victory_failure                         失败
victory_warning                         警告
victory_remaining                       剩余
victory_death                           死亡
victory_escapes                         逃狱
victory_counter                         (*X 今日)
victory_executions                      非法行刑
